Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,next_G,next_MP,next_PTS,next_TRB,next_AST,next_STL,next_BLK,next_TOV,next_FG%,next_3P%,next_eFG%,pts_change,ast_change,trb_change,mp_change,efg_change,breakout_score,Breakout,PTS_growth,AST_growth,TRB_growth,MP_growth,eFG%_growth
Alec Burks,SG,24.0,UTA,31,3,25.7,4.4,10.8,0.41,1.0,2.5,0.405,3.4,8.2,0.412,0.458,3.4,4.5,0.752,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3,2016,42,15.5,6.7,2.9,0.7,0.4,0.1,0.8,0.399,0.329,0.45,-6.6000000000000005,-1.3,-0.6000000000000001,-10.2,-0.008000000000000007,-1.4867344452182736,0,-0.5999999999999996,-1.0,-0.7000000000000002,-7.599999999999998,0.01100000000000001
Aleksej Pokusevski,PF,20.0,OKC,61,12,20.2,3.0,7.5,0.408,0.9,3.2,0.289,2.1,4.2,0.498,0.47,0.6,0.8,0.7,1.2,4.0,5.2,2.1,0.6,0.6,1.5,1.4,7.6,2022,34,20.6,8.1,4.7,1.9,0.6,1.3,1.3,0.434,0.365,0.51,0.5,-0.20000000000000018,-0.5,0.40000000000000213,0.040000000000000036,-0.06293689289105257,0,-0.5999999999999996,-0.10000000000000009,0.5,-4.0,0.057999999999999996
Aleksej Pokusevski,PF,21.0,OKC,34,25,20.6,3.2,7.3,0.434,1.1,3.1,0.365,2.1,4.3,0.483,0.51,0.6,1.0,0.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1,2023,28,14.5,5.2,3.2,1.3,0.5,0.5,0.7,0.405,0.327,0.479,-2.8999999999999995,-0.5999999999999999,-1.5,-6.100000000000001,-0.031000000000000028,-0.9878154992444355,0,0.5,-0.20000000000000018,-0.5,0.40000000000000213,0.040000000000000036
Alex Abrines,SG,24.0,OKC,75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,2018,31,19.0,5.3,1.5,0.6,0.5,0.2,0.5,0.357,0.323,0.487,0.5999999999999996,0.19999999999999996,0.0,3.9000000000000004,-0.05300000000000005,-0.02773134733483304,0,-1.2999999999999998,-0.19999999999999996,0.19999999999999996,-0.40000000000000036,0.009000000000000008
Alex Caruso,PG,24.0,LAL,25,4,21.2,3.1,6.9,0.445,1.0,2.0,0.48,2.1,4.9,0.431,0.514,2.0,2.6,0.797,0.8,1.9,2.7,3.1,1.0,0.4,1.7,2.2,9.2,2019,64,18.4,5.5,1.9,1.9,1.1,0.3,0.8,0.412,0.333,0.481,-3.6999999999999993,-1.2000000000000002,-0.8000000000000003,-2.8000000000000007,-0.03300000000000003,-0.9956411732419399,0,5.6,1.1,0.9000000000000001,6.0,0.027000000000000024
Alex Len,C,22.0,PHO,78,46,23.3,3.4,8.0,0.423,0.0,0.1,0.143,3.4,7.9,0.426,0.424,2.2,3.1,0.728,2.3,5.3,7.6,1.2,0.5,0.8,1.9,2.9,9.0,2016,77,20.3,8.0,6.6,0.6,0.5,1.3,1.3,0.497,0.25,0.5,-1.0,-0.6,-1.0,-3.0,0.07600000000000001,-0.37750110879380117,0,2.7,0.7,1.0,1.3000000000000007,-0.08400000000000002
Alex Len,C,23.0,PHO,77,34,20.3,3.0,6.0,0.497,0.0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2.0,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8.0,2017,69,20.2,8.5,7.5,1.2,0.4,0.9,1.1,0.566,0.333,0.567,0.5,0.6,0.9000000000000004,-0.10000000000000142,0.06699999999999995,0.27932705648379136,0,-1.0,-0.6,-1.0,-3.0,0.07600000000000001
Alex Len,C,24.0,PHO,69,13,20.2,3.1,5.5,0.566,0.0,0.0,0.333,3.1,5.4,0.568,0.567,2.3,3.3,0.684,2.5,5.0,7.5,1.2,0.4,0.9,1.1,2.3,8.5,2018,77,20.1,11.1,5.5,1.1,0.4,0.9,1.3,0.494,0.363,0.551,2.5999999999999996,-0.09999999999999987,-2.0,-0.09999999999999787,-0.015999999999999903,-0.13493275913501523,0,0.5,0.6,0.9000000000000004,-0.10000000000000142,0.06699999999999995
Allen Crabbe,SG,23.0,POR,81,8,26.0,3.8,8.4,0.459,1.4,3.5,0.393,2.5,4.9,0.506,0.541,1.2,1.4,0.867,0.3,2.3,2.7,1.2,0.8,0.2,0.8,2.4,10.3,2016,79,28.5,10.7,2.9,1.2,0.7,0.3,0.8,0.468,0.444,0.572,0.3999999999999986,0.0,0.19999999999999973,2.5,0.030999999999999917,0.08763569454101222,0,7.000000000000001,0.3999999999999999,1.3000000000000003,12.6,0.031000000000000028
Allen Crabbe,SG,24.0,POR,79,7,28.5,3.8,8.2,0.468,1.7,3.8,0.444,2.1,4.4,0.49,0.572,1.3,1.6,0.847,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7,2017,75,29.3,13.2,4.3,1.6,0.6,0.5,1.0,0.407,0.378,0.529,2.5,0.40000000000000013,1.4,0.8000000000000007,-0.04299999999999993,0.28938160775544236,0,0.3999999999999986,0.0,0.19999999999999973,2.5,0.030999999999999917
